year,course,age_group,gender,relay_count,distance,stroke,basetime,basetime_in_sec
2008,S,SCM,M,1,50,FREE,21.10,21.10
2008,S,SCM,M,1,100,FREE,46.45,46.45
2008,S,SCM,M,1,200,FREE,1:42.47,102.47
2008,S,SCM,M,1,400,FREE,3:37.85,217.85
2008,S,SCM,M,1,800,FREE,7:36.85,456.85
2008,S,SCM,M,1,1500,FREE,14:27.07,867.07
2008,S,SCM,M,1,50,BACK,23.46,23.46
2008,S,SCM,M,1,100,BACK,50.47,50.47
2008,S,SCM,M,1,200,BACK,1:50.18,110.18
2008,S,SCM,M,1,50,BREAST,26.56,26.56
2008,S,SCM,M,1,100,BREAST,57.82,57.82
2008,S,SCM,M,1,200,BREAST,2:05.13,125.13
2008,S,SCM,M,1,50,FLY,22.79,22.79
2008,S,SCM,M,1,100,FLY,50.20,50.20
2008,S,SCM,M,1,200,FLY,1:51.38,111.38
2008,S,SCM,M,1,100,MEDLEY,52.23,52.23
2008,S,SCM,M,1,200,MEDLEY,1:53.86,113.86
2008,S,SCM,M,1,400,MEDLEY,4:02.85,242.85
2008,S,SCM,M,4,50,FREE,1:26.74,86.74
2008,S,SCM,M,4,100,FREE,3:10.40,190.40
2008,S,SCM,M,4,200,FREE,7:02.46,422.46
2008,S,SCM,M,4,50,MEDLEY,1:34.75,94.75
2008,S,SCM,M,4,100,MEDLEY,3:28.00,208.00
2008,S,SCM,F,1,50,FREE,23.81,23.81
2008,S,SCM,F,1,100,FREE,52.42,52.42
2008,S,SCM,F,1,200,FREE,1:54.05,114.05
2008,S,SCM,F,1,400,FREE,3:59.87,239.87
2008,S,SCM,F,1,800,FREE,8:11.55,491.55
2008,S,SCM,F,1,1500,FREE,15:48.47,948.47
2008,S,SCM,F,1,50,BACK,26.82,26.82
2008,S,SCM,F,1,100,BACK,57.50,57.50
2008,S,SCM,F,1,200,BACK,2:03.62,123.62
2008,S,SCM,F,1,50,BREAST,30.07,30.07
2008,S,SCM,F,1,100,BREAST,1:04.93,64.93
2008,S,SCM,F,1,200,BREAST,2:19.52,139.52
2008,S,SCM,F,1,50,FLY,25.55,25.55
2008,S,SCM,F,1,100,FLY,56.41,56.41
2008,S,SCM,F,1,200,FLY,2:04.13,124.13
2008,S,SCM,F,1,100,MEDLEY,59.75,59.75
2008,S,SCM,F,1,200,MEDLEY,2:08.19,128.19
2008,S,SCM,F,1,400,MEDLEY,4:29.03,269.03
2008,S,SCM,F,4,50,FREE,1:37.85,97.85
2008,S,SCM,F,4,100,FREE,3:35.62,215.62
2008,S,SCM,F,4,200,FREE,7:48.30,468.30
2008,S,SCM,F,4,50,MEDLEY,1:47.25,107.25
2008,S,SCM,F,4,100,MEDLEY,3:56.35,236.35
2008,S,LCM,M,1,50,FREE,21.49,21.49
2008,S,LCM,M,1,100,FREE,47.56,47.56
2008,S,LCM,M,1,200,FREE,1:45.07,105.07
2008,S,LCM,M,1,400,FREE,3:42.68,222.68
2008,S,LCM,M,1,800,FREE,7:45.63,465.63
2008,S,LCM,M,1,1500,FREE,14:42.75,882.75
2008,S,LCM,M,1,5000,FREE,55:16.56,3316.56
2008,S,LCM,M,1,50,BACK,24.86,24.86
2008,S,LCM,M,1,100,BACK,52.98,52.98
2008,S,LCM,M,1,200,BACK,1:55.28,115.28
2008,S,LCM,M,1,50,BREAST,27.42,27.42
2008,S,LCM,M,1,100,BREAST,59.60,59.60
2008,S,LCM,M,1,200,BREAST,2:08.80,128.80
2008,S,LCM,M,1,50,FLY,23.33,23.33
2008,S,LCM,M,1,100,FLY,51.03,51.03
2008,S,LCM,M,1,200,FLY,1:53.79,113.79
2008,S,LCM,M,1,200,MEDLEY,1:57.22,117.22
2008,S,LCM,M,1,400,MEDLEY,4:09.28,249.28
2008,S,LCM,M,4,100,FREE,3:11.60,191.60
2008,S,LCM,M,4,200,FREE,7:06.73,426.73
2008,S,LCM,M,4,100,MEDLEY,3:32.59,212.59
2008,S,LCM,M,4,50,FREE,1:26.92,86.92
2008,S,LCM,M,4,50,MEDLEY,1:36.44,96.44
2008,S,LCM,F,1,50,FREE,24.21,24.21
2008,S,LCM,F,1,100,FREE,53.44,53.44
2008,S,LCM,F,1,200,FREE,1:55.73,115.73
2008,S,LCM,F,1,400,FREE,4:03.13,243.13
2008,S,LCM,F,1,800,FREE,8:18.82,498.82
2008,S,LCM,F,1,1500,FREE,15:56.73,956.73
2008,S,LCM,F,1,50,BACK,28.00,28.00
2008,S,LCM,F,1,100,BACK,59.19,59.19
2008,S,LCM,F,1,200,BACK,2:06.95,126.95
2008,S,LCM,F,1,50,BREAST,30.66,30.66
2008,S,LCM,F,1,100,BREAST,1:06.37,66.37
2008,S,LCM,F,1,200,BREAST,2:22.74,142.74
2008,S,LCM,F,1,50,FLY,25.86,25.86
2008,S,LCM,F,1,100,FLY,57.21,57.21
2008,S,LCM,F,1,200,FLY,2:05.64,125.64
2008,S,LCM,F,1,200,MEDLEY,2:09.97,129.97
2008,S,LCM,F,1,400,MEDLEY,4:32.99,272.99
2008,S,LCM,F,4,100,FREE,3:36.65,216.65
2008,S,LCM,F,4,200,FREE,7:50.44,470.44
2008,S,LCM,F,4,100,MEDLEY,3:58.37,238.37
2008,S,LCM,F,1,5000,FREE,59:07.50,3547.50
2008,S,LCM,F,4,50,FREE,1:38.28,98.28
2008,S,LCM,F,4,50,MEDLEY,1:48.13,108.13
2009,S,SCM,M,1,50,FREE,20.86,20.86
2009,S,SCM,M,1,100,FREE,46.04,46.04
2009,S,SCM,M,1,200,FREE,1:42.16,102.16
2009,S,SCM,M,1,400,FREE,3:36.11,216.11
2009,S,SCM,M,1,800,FREE,7:36.27,456.27
2009,S,SCM,M,1,1500,FREE,14:24.58,864.58
